PART-Article,Data
PART V - 116,"Votes on account, votes of credit and exceptional grants.—(1) Notwithstanding anything in the foregoing provisions of this Chapter, theHouse of the People shall have power—(a) to make any grant in advance in respect of the estimatedexpenditure for a part of any financial year pending the completion ofthe procedure prescribed in article 113 for the voting of such grant andthe passing of the law in accordance with the provisions of article 114 inrelation to that expenditure;(b) to make a grant for meeting an unexpected demand upon theresources of India when on account of the magnitude or the indefinitecharacter of the service the demand cannot be stated with the detailsordinarily given in an annual financial statement;(c) to make an exceptional grant which forms no part of the currentservice of any financial year;and Parliament shall have power to authorise by law the withdrawal of moneys fromthe Consolidated Fund of India for the purposes for which the said grants are made.49(2) The provisions of articles 113 and 114 shall have effect in relation tothe making of any grant under clause (1) and to any law to be made under thatclause as they have effect in relation to the making of a grant with regard to anyexpenditure mentioned in the annual financial statement and the law to be madefor the authorisation of appropriation of moneys out of the Consolidated Fundof India to meet such expenditure."
PART V - 117,"Special provisions as to financial Bills.—(1) A Bill or amendmentmaking provision for any of the matters specified in sub-clauses (a) to (f) ofclause (1) of article 110 shall not be introduced or moved except on therecommendation of the President and a Bill making such provision shall not beintroduced in the Council of States:Provided that no recommendation shall be required under this clause forthe moving of an amendment making provision for the reduction or abolition ofany tax.(2) A Bill or amendment shall not be deemed to make provision for anyof the matters aforesaid by reason only that it provides for the imposition offines or other pecuniary penalties, or for the demand or payment of fees forlicences or fees for services rendered, or by reason that it provides for theimposition, abolition, remission, alteration or regulation of any tax by any localauthority or body for local purposes.(3) A Bill which, if enacted and brought into operation, would involveexpenditure from the Consolidated Fund of India shall not be passed by eitherHouse of Parliament unless the President has recommended to that House theconsideration of the Bill.Procedure Generally"
PART V - 118,"Rules of procedure.— (1) Each House of Parliament may makerules for regulating, subject to the provisions of this Constitution, its procedureand the conduct of its business.(2) Until rules are made under clause (1), the rules of procedure andstanding orders in force immediately before the commencement of thisConstitution with respect to the Legislature of the Dominion of India shall haveeffect in relation to Parliament subject to such modifications and adaptations asmay be made therein by the Chairman of the Council of States or the Speakerof the House of the People, as the case may be.(3) The President, after consultation with the Chairman of the Council ofStates and the Speaker of the House of the People, may make rules as to theprocedure with respect to joint sittings of, and communications between, thetwo Houses.50(4) At a joint sitting of the two Houses the Speaker of the House of thePeople, or in his absence such person as may be determined by rules ofprocedure made under clause (3), shall preside."
PART V - 119,"Regulation by law of procedure in Parliament in relation tofinancial business.— Parliament may, for the purpose of the timely completionof financial business, regulate by law the procedure of, and the conduct ofbusiness in, each House of Parliament in relation to any financial matter or toany Bill for the appropriation of moneys out of the Consolidated Fund of India,and, if and so far as any provision of any law so made is inconsistent with anyrule made by a House of Parliament under clause (1) of article 118 or with anyrule or standing order having effect in relation to Parliament under clause (2) ofthat article, such provision shall prevail."
PART V - 120,"Language to be used in Parliament.—(1) Notwithstandinganything in Part XVII, but subject to the provisions of article 348, business inParliament shall be transacted in Hindi or in English:Provided that the Chairman of the Council of States or Speaker of theHouse of the People, or person acting as such, as the case may be, may permitany member who cannot adequately express himself in Hindi or in English toaddress the House in his mother-tongue.(2) Unless Parliament by law otherwise provides, this article shall, afterthe expiration of a period of fifteen years from the commencement of thisConstitution, have effect as if the words “or in English” were omittedtherefrom."
PART V - 121,Restriction on discussion in Parliament.—No discussion shalltake place in Parliament with respect to the conduct of any Judge of theSupreme Court or of a High Court in the discharge of his duties except upon amotion for presenting an address to the President praying for the removal of theJudge as hereinafter provided.
PART V - 122,"Courts not to inquire into proceedings of Parliament.—(1) Thevalidity of any proceedings in Parliament shall not be called in question on theground of any alleged irregularity of procedure.(2) No officer or member of Parliament in whom powers are vested byor under this Constitution for regulating procedure or the conduct of business,or for maintaining order, in Parliament shall be subject to the jurisdiction of anycourt in respect of the exercise by him of those powers.51CHAPTER III.—LEGISLATIVE POWERS OF THE PRESIDENT"
PART V - 123,"Power of President to promulgate Ordinances during recess ofParliament.—(1) If at any time, except when both Houses of Parliament are insession, the President is satisfied that circumstances exist which render itnecessary for him to take immediate action, he may promulgate suchOrdinances as the circumstances appear to him to require.(2) An Ordinance promulgated under this article shall have the sameforce and effect as an Act of Parliament, but every such Ordinance—(a) shall be laid before both Houses of Parliament and shall cease tooperate at the expiration of six weeks from the reassembly of Parliament,or, if before the expiration of that period resolutions disapproving it arepassed by both Houses, upon the passing of the second of thoseresolutions; and(b) may be withdrawn at any time by the President.Explanation.—Where the Houses of Parliament are summoned toreassemble on different dates, the period of six weeks shall be reckoned fromthe later of those dates for the purposes of this clause.(3) If and so far as an Ordinance under this article makes any provisionwhich Parliament would not under this Constitution be competent to enact, itshall be void.****CHAPTER IV.—THE UNION JUDICIARY"
PART V - 124,"Establishment and constitution of Supreme Court.—(1) Thereshall be a Supreme Court of India consisting of a Chief Justice of India and,until Parliament by law prescribes a larger number, of not more than seven 1other Judges.(2) Every Judge of the Supreme Court shall be appointed by thePresident by warrant under his hand and seal on the recommendation of the NationalJudicial Appointments Commission referred to in article 124A and shall hold office until heattains the age of sixty-five years:52Provided that—(a) a Judge may, by writing under his hand addressed to thePresident, resign his office;(b) a Judge may be removed from his office in the mannerprovided in clause (4).(2A) The age of a Judge of the Supreme Court shall be determined bysuch authority and in such manner as Parliament may by law provide.(3) A person shall not be qualified for appointment as a Judge of theSupreme Court unless he is a citizen of India and—(a) has been for at least five years a Judge of a High Court or of twoor more such Courts in succession; or(b) has been for at least ten years an advocate of a High Court or oftwo or more such Courts in succession; or(c) is, in the opinion of the President, a distinguished jurist.Explanation I.—In this clause ""High Court'' means a High Court whichexercises, or which at any time before the commencement of this Constitutionexercised, jurisdiction in any part of the territory of India.Explanation II.—In computing for the purpose of this clause the periodduring which a person has been an advocate, any period during which a personhas held judicial office not inferior to that of a district judge after he became anadvocate shall be included.(4) A Judge of the Supreme Court shall not be removed from his officeexcept by an order of the President passed after an address by each House ofParliament supported by a majority of the total membership of that House andby a majority of not less than two-thirds of the members of that House presentand voting has been presented to the President in the same session for suchremoval on the ground of proved misbehaviour or incapacity.(5) Parliament may by law regulate the procedure for the presentation ofan address and for the investigation and proof of the misbehaviour or incapacityof a Judge under clause (4).53(6) Every person appointed to be a Judge of the Supreme Court shall,before he enters upon his office, make and subscribe before the President, orsome person appointed in that behalf by him, an oath or affirmation accordingto the form set out for the purpose in the Third Schedule.(7) No person who has held office as a Judge of the Supreme Court shallplead or act in any court or before any authority within the territory of India."
PART V - 124A,"(1) There shall be a Commission to be known as the National JudicialAppointments Commission consisting of the following, namely:––(a) the Chief Justice of India, Chairperson, ex officio;(b) two other senior Judges of the Supreme Court next to the Chief Justiceof India ––Members, ex officio;(c) the Union Minister in charge of Law and Justice––Member, ex officio;(d) two eminent persons to be nominated by the committee consisting ofthe Prime Minister, the Chief Justice of India and the Leader of Opposition in theHouse of the People or where there is no such Leader of Opposition, then, theLeader of single largest Opposition Party in the House of the People –– Members:Provided that one of the eminent person shall be nominated from amongstthe persons belonging to the Scheduled Castes, the Scheduled Tribes, OtherBackward Classes, Minorities or Women:Provided further that an eminent person shall be nominated for a period ofthree years and shall not be eligible for renomination.(2) No act or proceedings of the National Judicial Appointments Commissionshall be questioned or be invalidated merely on the ground of the existence of anyvacancy or defect in the constitution of the Commission."
PART V - 124B,"It shall be the duty of the National Judicial Appointments Commissionto—(a) recommend persons for appointment as Chief Justice of India, Judgesof the Supreme Court, Chief Justices of High Courts and other Judges of HighCourts;(b) recommend transfer of Chief Justices and other Judges of High Courtsfrom one High Court to any other High Court; and(c) ensure that the person recommended is of ability and integrity."
PART V - 124C,"Parliament may, by law, regulate the procedure for the appointment ofChief Justice of India and other Judges of the Supreme Court and Chief Justices andother Judges of High Courts and empower the Commission to lay down by regulationsthe procedure for the discharge of its functions, the manner of selection of persons forappointment and such other matters as may be considered necessary by it"
PART V - 125,"Salaries, etc., of Judges.—(1) There shall be paid to the Judges ofthe Supreme Court such salaries as may be determined by Parliament by lawand, until provision in that behalf is so made, such salaries as are specified inthe Second Schedule.(2) Every Judge shall be entitled to such privileges and allowances and to suchrights in respect of leave of absence and pension as may from time to time bedetermined by or under law made by Parliament and, until so determined, to suchprivileges, allowances and rights as are specified in the Second Schedule:Provided that neither the privileges nor the allowances of a Judge nor hisrights in respect of leave of absence or pension shall be varied to hisdisadvantage after his appointment."
PART V - 126,"Appointment of acting Chief Justice.—When the office of ChiefJustice of India is vacant or when the Chief Justice is, by reason of absence orotherwise, unable to perform the duties of his office, the duties of the officeshall be performed by such one of the other Judges of the Court as the Presidentmay appoint for the purpose."
PART V - 127,"Appointment of ad hoc Judges.—(1) If at any time there shouldnot be a quorum of the Judges of the Supreme Court available to hold orcontinue any session of the Court, the National JudicialAppointments Commission on a reference made to it by the Chief Justice of India, may withthe previous consent of the President and after consultation with the Chief Justiceof the High Court concerned, request in writing the attendance at the sittings ofthe Court, as an ad hoc Judge, for such period as may be necessary, of a Judgeof a High Court duly qualified for appointment as a Judge of the SupremeCourt to be designated by the Chief Justice of India.54(2) It shall be the duty of the Judge who has been so designated, inpriority to other duties of his office, to attend the sittings of the Supreme Courtat the time and for the period for which his attendance is required, and while soattending he shall have all the jurisdiction, powers and privileges, and shalldischarge the duties, of a Judge of the Supreme Court."
PART V - 128,"Attendance of retired Judges at sittings of the SupremeCourt.—Notwithstanding anything in this Chapter, the National Judicial Appointments Commissionmay at any time, with the previous consent of the President, request any personwho has held the office of a Judge of the Supreme Court or of the Federal Courtor who has held the office of a Judge of a High Court and is duly qualified forappointment as a Judge of the Supreme Court to sit and act as a Judge of theSupreme Court, and every such person so requested shall, while so sitting andacting, be entitled to such allowances as the President may by order determineand have all the jurisdiction, powers and privileges of, but shall not otherwisebe deemed to be, a Judge of that Court:Provided that nothing in this article shall be deemed to require any suchperson as aforesaid to sit and act as a Judge of that Court unless he consents soto do."
PART V - 129,Supreme Court to be a court of record.—The Supreme Courtshall be a court of record and shall have all the powers of such a court includingthe power to punish for contempt of itself.
PART V - 130,"Seat of Supreme Court.—The Supreme Court shall sit in Delhi orin such other place or places, as the Chief Justice of India may, with theapproval of the President, from time to time, appoint."
PART V - 131,"Original jurisdiction of the Supreme Court.—Subject to theprovisions of this Constitution, the Supreme Court shall, to the exclusion of anyother court, have original jurisdiction in any dispute—(a) between the Government of India and one or more States; or(b) between the Government of India and any State or States on oneside and one or more other States on the other; or(c) between two or more States,if and in so far as the dispute involves any question (whether of law or fact) on whichthe existence or extent of a legal right depends:55Provided that the said jurisdiction shall not extend to a dispute arisingout of any treaty, agreement, covenant, engagement, sanad or other similarinstrument which, having been entered into or executed before thecommencement of this Constitution, continues in operation after suchcommencement, or which provides that the said jurisdiction shall not extend tosuch a dispute."
PART V - 131A,"[Exclusive jurisdiction of the Supreme Court in regard toquestions as to constitutional validity of Central laws.] Rep. by the Constitution(Forty-third Amendment) Act, 1977, s. 4 (w.e.f. 13-4-1978)."
PART V - 132,"Appellate jurisdiction of Supreme Court in appeals from HighCourts in certain cases.— (1) An appeal shall lie to the Supreme Court fromany judgment, decree or final order of a High Court in the territory of India,whether in a civil, criminal or other proceeding, if the High Court certifiesunder article 134A that the case involves a substantial question of law as to theinterpretation of this Constitution.******(3) Where such a certificate is given, any party in the case may appeal tothe Supreme Court on the ground that any such question as aforesaid has beenwrongly decided.Explanation.— For the purposes of this article, the expression “finalorder” includes an order deciding an issue which, if decided in favour of theappellant, would be sufficient for the final disposal of the case."
PART V - 133,"Appellate jurisdiction of Supreme Court in appeals from HighCourts in regard to civil matters.— (1) An appeal shall lie to the SupremeCourt from any judgment, decree or final order in a civil proceeding of a HighCourt in the territory of India if the High Court certifies under article 134A—(a) that the case involves a substantial question of law of generalimportance; and(b) that in the opinion of the High Court the said question needs to bedecided by the Supreme Court.(2) Notwithstanding anything in article 132, any party appealing to theSupreme Court under clause (1) may urge as one of the grounds in such appealthat a substantial question of law as to the interpretation of this Constitution hasbeen wrongly decided.56(3) Notwithstanding anything in this article, no appeal shall, unless Parliamentby law otherwise provides, lie to the Supreme Court from the judgment, decree or finalorder of one Judge of a High Court."
PART V - 134,"Appellate jurisdiction of Supreme Court in regard to criminalmatters.—(1) An appeal shall lie to the Supreme Court from any judgment,final order or sentence in a criminal proceeding of a High Court in the territoryof India if the High Court—(a) has on appeal reversed an order of acquittal of an accused personand sentenced him to death; or(b) has withdrawn for trial before itself any case from any courtsubordinate to its authority and has in such trial convicted the accusedperson and sentenced him to death; or(c) certifies under article 134A that the case is a fit one for appeal tothe Supreme Court:Provided that an appeal under sub-clause (c) shall lie subject to suchprovisions as may be made in that behalf under clause (1) of article 145 and tosuch conditions as the High Court may establish or require.(2) Parliament may by law confer on the Supreme Court any furtherpowers to entertain and hear appeals from any judgment, final order or sentencein a criminal proceeding of a High Court in the territory of India subject to suchconditions and limitations as may be specified in such law."
PART V - 134A,"Certificate for appeal to the Supreme Court.—Every HighCourt, passing or making a judgment, decree, final order, or sentence, referred toin clause (1) of article 132 or clause (1) of article 133, or clause (1) of article134,—(a) may, if it deems fit so to do, on its own motion; and(b) shall, if an oral application is made, by or on behalf of the partyaggrieved, immediately after the passing or making of such judgment,decree, final order or sentence,determine, as soon as may be after such passing or making, the questionwhether a certificate of the nature referred to in clause (1) of article 132, orclause (1) of article 133 or, as the case may be, sub-clause (c) of clause (1) ofarticle 134, may be given in respect of that case.57"
PART V - 135,"Jurisdiction and powers of the Federal Court under existinglaw to be exercisable by the Supreme Court.— Until Parliament by lawotherwise provides, the Supreme Court shall also have jurisdiction and powerswith respect to any matter to which the provisions of article 133 or article 134do not apply if jurisdiction and powers in relation to that matter wereexercisable by the Federal Court immediately before the commencement of thisConstitution under any existing law."
PART V - 136,"Special leave to appeal by the Supreme Court.—(1)Notwithstanding anything in this Chapter, the Supreme Court may, in itsdiscretion, grant special leave to appeal from any judgment, decree,determination, sentence or order in any cause or matter passed or made by anycourt or tribunal in the territory of India.(2) Nothing in clause (1) shall apply to any judgment, determination,sentence or order passed or made by any court or tribunal constituted by orunder any law relating to the Armed Forces."
PART V - 137,"Review of judgments or orders by the Supreme Court.—Subjectto the provisions of any law made by Parliament or any rules made underarticle 145, the Supreme Court shall have power to review any judgmentpronounced or order made by it."
PART V - 138,"Enlargement of the jurisdiction of the Supreme Court.—(1) TheSupreme Court shall have such further jurisdiction and powers with respect toany of the matters in the Union List as Parliament may by law confer.(2) The Supreme Court shall have such further jurisdiction and powerswith respect to any matter as the Government of India and the Government ofany State may by special agreement confer, if Parliament by law provides forthe exercise of such jurisdiction and powers by the Supreme Court."
PART V - 139,"Conferment on the Supreme Court of powers to issue certainwrits.— Parliament may by law confer on the Supreme Court power to issuedirections, orders or writs, including writs in the nature of habeas corpus,mandamus, prohibition, quo warranto and certiorari, or any of them, for anypurposes other than those mentioned in clause (2) of article 32.58"
PART V - 139A,"Transfer of certain cases.—(1) Where cases involving the sameor substantially the same questions of law are pending before the SupremeCourt and one or more High Courts or before two or more High Courts and theSupreme Court is satisfied on its own motion or on an application made by theAttorney-General of India or by a party to any such case that such questions aresubstantial questions of general importance, the Supreme Court may withdrawthe case or cases pending before the High Court or the High Courts and disposeof all the cases itself:Provided that the Supreme Court may after determining the saidquestions of law return any case so withdrawn together with a copy of itsjudgment on such questions to the High Court from which the case has beenwithdrawn, and the High Court shall on receipt thereof, proceed to dispose ofthe case in conformity with such judgment.(2) The Supreme Court may, if it deems it expedient so to do for the endsof justice, transfer any case, appeal or other proceedings pending before anyHigh Court to any other High Court."
PART V - 140,Ancillary powers of Supreme Court.—Parliament may by lawmake provision for conferring upon the Supreme Court such supplementalpowers not inconsistent with any of the provisions of this Constitution as mayappear to be necessary or desirable for the purpose of enabling the Court moreeffectively to exercise the jurisdiction conferred upon it by or under thisConstitution.
PART V - 141,Law declared by Supreme Court to be binding on all courts.—The law declared by the Supreme Court shall be binding on all courts withinthe territory of India.
PART V - 142,"Enforcement of decrees and orders of Supreme Court andorders as to discovery, etc.—(1) The Supreme Court in the exercise of itsjurisdiction may pass such decree or make such order as is necessary for doingcomplete justice in any cause or matter pending before it, and any decree sopassed or order so made shall be enforceable throughout the territory of India insuch manner as may be prescribed by or under any law made by Parliamentand, until provision in that behalf is so made, in such manner as the Presidentmay by order prescribe.(2) Subject to the provisions of any law made in this behalf byParliament, the Supreme Court shall, as respects the whole of the territory ofIndia, have all and every power to make any order for the purpose of securingthe attendance of any person, the discovery or production of any documents, orthe investigation or punishment of any contempt of itself.59"
PART V - 143,"Power of President to consult Supreme Court.—(1) If at anytime it appears to the President that a question of law or fact has arisen, or islikely to arise, which is of such a nature and of such public importance that it isexpedient to obtain the opinion of the Supreme Court upon it, he may refer thequestion to that Court for consideration and the Court may, after such hearingas it thinks fit, report to the President its opinion thereon.(2) The President may, notwithstanding anything in the proviso to article131, refer a dispute of the kind mentioned in the said proviso to the SupremeCourt for opinion and the Supreme Court shall, after such hearing as it thinksfit, report to the President its opinion thereon."
PART V - 144,"Civil and judicial authorities to act in aid of the SupremeCourt.—All authorities, civil and judicial, in the territory of India shall act inaid of the Supreme Court."
PART V - 144A,"[Special provisions as to disposal of questions relating toconstitutional validity of laws.] Rep. by the Constitution (Forty-thirdAmendment) Act, 1977, s. 5 (w.e.f. 13-4-1978)."
PART V - 145,"Rules of Court, etc.—(1) Subject to the provisions of any lawmade by Parliament, the Supreme Court may from time to time, with theapproval of the President, make rules for regulating generally the practice andprocedure of the Court including—(a) rules as to the persons practising before the Court;(b) rules as to the procedure for hearing appeals and other matterspertaining to appeals including the time within which appeals to theCourt are to be entered;(c) rules as to the proceedings in the Court for the enforcement of anyof the rights conferred by Part III;(cc) rules as to the proceedings in the Court under article 139A;(d) rules as to the entertainment of appeals under sub-clause (c) ofclause (1) of article 134;60(e) rules as to the conditions subject to which any judgmentpronounced or order made by the Court may be reviewed and theprocedure for such review including the time within which applicationsto the Court for such review are to be entered;(f) rules as to the costs of and incidental to any proceedings in theCourt and as to the fees to be charged in respect of proceedings therein;(g) rules as to the granting of bail;(h) rules as to stay of proceedings;(i) rules providing for the summary determination of any appealwhich appears to the Court to be frivolous or vexatious or brought for thepurpose of delay;(j) rules as to the procedure for inquiries referred to in clause(1) of article 317.(2) Subject to the provisions of clause (3), rules made under this articlemay fix the minimum number of Judges who are to sit for any purpose, andmay provide for the powers of single Judges and Division Courts.(3) The minimum number of Judges who are to sit for the purpose ofdeciding any case involving a substantial question of law as to theinterpretation of this Constitution or for the purpose of hearing any referenceunder article 143 shall be five:Provided that, where the Court hearing an appeal under any of theprovisions of this Chapter other than article 132 consists of less than fiveJudges and in the course of the hearing of the appeal the Court is satisfied thatthe appeal involves a substantial question of law as to the interpretation of thisConstitution the determination of which is necessary for the disposal of theappeal, such Court shall refer the question for opinion to a Court constituted asrequired by this clause for the purpose of deciding any case involving such aquestion and shall on receipt of the opinion dispose of the appeal in conformitywith such opinion.(4) No judgment shall be delivered by the Supreme Court save in openCourt, and no report shall be made under article 143 save in accordance with anopinion also delivered in open Court.61(5) No judgment and no such opinion shall be delivered by the SupremeCourt save with the concurrence of a majority of the Judges present at thehearing of the case, but nothing in this clause shall be deemed to prevent aJudge who does not concur from delivering a dissenting judgment or opinion."
PART V - 146,"Officers and servants and the expenses of the Supreme Court.—(1) Appointments of officers and servants of the Supreme Court shall be madeby the Chief Justice of India or such other Judge or officer of the Court as hemay direct:Provided that the President may by rule require that in such cases as maybe specified in the rule, no person not already attached to the Court shall beappointed to any office connected with the Court, save after consultation withthe Union Public Service Commission.(2) Subject to the provisions of any law made by Parliament, theconditions of service of officers and servants of the Supreme Court shall besuch as may be prescribed by rules made by the Chief Justice of India or bysome other Judge or officer of the Court authorised by the Chief Justice ofIndia to make rules for the purpose:Provided that the rules made under this clause shall, so far as they relateto salaries, allowances, leave or pensions, require the approval of the President.(3) The administrative expenses of the Supreme Court, including allsalaries, allowances and pensions payable to or in respect of the officers andservants of the Court, shall be charged upon the Consolidated Fund of India,and any fees or other moneys taken by the Court shall form part of that Fund."
PART V - 147,"Interpretation.—In this Chapter and in Chapter V of Part VI,references to any substantial question of law as to the interpretation of thisConstitution shall be construed as including references to any substantialquestion of law as to the interpretation of the Government of India Act, 1935(including any enactment amending or supplementing that Act), or of anyOrder in Council or order made thereunder, or of the Indian Independence Act,1947, or of any order made thereunder.CHAPTER V.—COMPTROLLER AND AUDITOR-GENERAL OF INDIA"
PART V - 148,"Comptroller and Auditor-General of India.—(1) There shall be aComptroller and Auditor-General of India who shall be appointed by thePresident by warrant under his hand and seal and shall only be removed fromoffice in like manner and on the like grounds as a Judge of the Supreme Court.62(2) Every person appointed to be the Comptroller and Auditor-Generalof India shall, before he enters upon his office, make and subscribe before thePresident, or some person appointed in that behalf by him, an oath oraffirmation according to the form set out for the purpose in the Third Schedule.(3) The salary and other conditions of service of the Comptroller andAuditor-General shall be such as may be determined by Parliament by law and,until they are so determined, shall be as specified in the Second Schedule:Provided that neither the salary of a Comptroller and Auditor-Generalnor his rights in respect of leave of absence, pension or age of retirement shallbe varied to his disadvantage after his appointment.(4) The Comptroller and Auditor-General shall not be eligible for furtheroffice either under the Government of India or under the Government of anyState after he has ceased to hold his office.(5) Subject to the provisions of this Constitution and of any law made byParliament, the conditions of service of persons serving in the Indian Audit andAccounts Department and the administrative powers of the Comptroller andAuditor-General shall be such as may be prescribed by rules made by thePresident after consultation with the Comptroller and Auditor-General.(6) The administrative expenses of the office of the Comptroller andAuditor-General, including all salaries, allowances and pensions payable to orin respect of persons serving in that office, shall be charged upon theConsolidated Fund of India."
PART V - 149,"Duties and powers of the Comptroller and Auditor-General.—The Comptroller and Auditor-General shall perform such duties and exercisesuch powers in relation to the accounts of the Union and of the States and ofany other authority or body as may be prescribed by or under any law made byParliament and, until provision in that behalf is so made, shall perform suchduties and exercise such powers in relation to the accounts of the Union and ofthe States as were conferred on or exercisable by the Auditor-General of Indiaimmediately before the commencement of this Constitution in relation to theaccounts of the Dominion of India and of the Provinces respectively."
PART V - 150,"Form of accounts of the Union and of the States.—The accountsof the Union and of the States shall be kept in such form as the President may,on the advice of the Comptroller and Auditor-General of India, prescribe."
PART V - 151,"Audit reports.—(1) The reports of the Comptroller and AuditorGeneral of India relating to the accounts of the Union shall be submitted to thePresident, who shall cause them to be laid before each House of Parliament.(2) The reports of the Comptroller and Auditor-General of India relatingto the accounts of a State shall be submitted to the Governor of the State, whoshall cause them to be laid before the Legislature of the State."
PART VI - 152,"Definition.—In this Part, unless the context otherwise requires, theexpression “State” does not include the State of Jammu and Kashmir.CHAPTER II.—THE EXECUTIVEThe Governor"
PART VI - 153,Governors of States.—There shall be a Governor for each State:Provided that nothing in this article shall prevent the appointment of thesame person as Governor for two or more States.
PART VI - 154,Executive power of State.—(1) The executive power of the Stateshall be vested in the Governor and shall be exercised by him either directly orthrough officers subordinate to him in accordance with this Constitution.(2) Nothing in this article shall—(a) be deemed to transfer to the Governor any functions conferred byany existing law on any other authority; or(b) prevent Parliament or the Legislature of the State from conferringby law functions on any authority subordinate to the Governor.
PART VI - 155,Appointment of Governor.—The Governor of a State shall beappointed by the President by warrant under his hand and seal.
PART VI - 156,"Term of office of Governor.—(1) The Governor shall hold officeduring the pleasure of the President.(2) The Governor may, by writing under his hand addressed to thePresident, resign his office.(3) Subject to the foregoing provisions of this article, a Governor shallhold office for a term of five years from the date on which he enters upon hisoffice:Provided that a Governor shall, notwithstanding the expiration of histerm, continue to hold office until his successor enters upon his office.6364"
PART VI - 157,Qualifications for appointment as Governor.—No person shallbe eligible for appointment as Governor unless he is a citizen of India and hascompleted the age of thirty-five years.
PART VI - 158,"Conditions of Governor's office.—(1) The Governor shall not be amember of either House of Parliament or of a House of the Legislature of anyState specified in the First Schedule, and if a member of either House ofParliament or of a House of the Legislature of any such State be appointedGovernor, he shall be deemed to have vacated his seat in that House on the dateon which he enters upon his office as Governor.(2) The Governor shall not hold any other office of profit.(3) The Governor shall be entitled without payment of rent to the use ofhis official residences and shall be also entitled to such emoluments,allowances and privileges as may be determined by Parliament by law and,until provision in that behalf is so made, such emoluments, allowances andprivileges as are specified in the Second Schedule.(3A) Where the same person is appointed as Governor of two or moreStates, the emoluments and allowances payable to the Governor shall be allocatedamong the States in such proportion as the President may by order determine.(4) The emoluments and allowances of the Governor shall not bediminished during his term of office."
PART VI - 159,"Oath or affirmation by the Governor.—Every Governor andevery person discharging the functions of the Governor shall, before enteringupon his office, make and subscribe in the presence of the Chief Justice of theHigh Court exercising jurisdiction in relation to the State, or, in his absence, thesenior most Judge of that Court available, an oath or affirmation in thefollowing form, that is to say—“I, A. B., do swear in the name of God that I will faithfully execute thesolemnly affirmoffice of Governor (or discharge the functions of the Governor) of.........(name of the State) and will to the best of my ability preserve, protectand defend the Constitution and the law and that I will devote myself to theservice and well-being of the people of ..……(name of the State).”."
PART VI - 160,Discharge of the functions of the Governor in certaincontingencies.—The President may make such provision as he thinks fit for thedischarge of the functions of the Governor of a State in any contingency notprovided for in this Chapter.65
PART VI - 161,"Power of Governor to grant pardons, etc., and to suspend, remitor commute sentences in certain cases.—The Governor of a State shall havethe power to grant pardons, reprieves, respites or remissions of punishment orto suspend, remit or commute the sentence of any person convicted of anyoffence against any law relating to a matter to which the executive power of theState extends."
PART VI - 162,"Extent of executive power of State.—Subject to the provisions ofthis Constitution, the executive power of a State shall extend to the matters withrespect to which the Legislature of the State has power to make laws:Provided that in any matter with respect to which the Legislature of aState and Parliament have power to make laws, the executive power of theState shall be subject to, and limited by, the executive power expresslyconferred by this Constitution or by any law made by Parliament upon theUnion or authorities thereof.Council of Ministers"
PART VI - 163,"Council of Ministers to aid and advise Governor.—(1) There shallbe a Council of Ministers with the Chief Minister at the head to aid and advise theGovernor in the exercise of his functions, except in so far as he is by or under thisConstitution required to exercise his functions or any of them in his discretion.(2) If any question arises whether any matter is or is not a matter asrespects which the Governor is by or under this Constitution required to act inhis discretion, the decision of the Governor in his discretion shall be final, andthe validity of anything done by the Governor shall not be called in question onthe ground that he ought or ought not to have acted in his discretion.(3) The question whether any, and if so what, advice was tendered byMinisters to the Governor shall not be inquired into in any court."
