news,articles
"Mangaluru: The Mangaluru City police have seized demonetized currency worth Rs.1.92 crores and arrested three persons. The seized notes are of Rs 500 and Rs 1,000 denominations. The total worth of the seized amount is Rs 1,92,50,000. The arrested are from Mangaluru and have been identified as Jubeer Hammamba, Deepak Kumar and Abdul Nasir. While Nasir and Hammabba are working as drivers, Deepak is into electric business.   The police seized the currency when the accused were transporting the notes to Mangaluru. Primary reports of the probe indicate that the accused got the notes from people in nearby districts like Chitradurga and Shivamogga. The trio promised people that the currency can be exchanged at 50 per cent of the value. They also asked for commission for exchanging the demonetised currency. Mangaluru City Police Chief N Shashi Kumar told reporters that the accused were produced before the court. The police will seek custody of the trio for further probe.  The Police want to verify the source of the currency notes and the people whom the accused wanted to hand over it.","['371C', '258A', '109', '371H', '134A']"
"Sangrur: Kashmiri students at an engineering college in Punjab's Sangrur were allegedly attacked by a group of students following the India-Pakistan T20 World Cup match on Sunday. Following the victory of Pakistan over India in yesterday's T20 World Cup match, a few students of the college, reportedly from Uttar Pradesh, went on a rampage and allegedly damaged the hostel rooms of the Kashmiri students.  The video of the scuffle has gone viral on social media platforms.
Following the incident, the Kashmiri students reportedly uploaded a video on social media alleging that their rooms were vandalised by a group of students hailing from Uttar Pradesh as they barged into their rooms while they were watching the match. The Kashmiri students also urged people to support them. An investigation into the incident is underway.","['312', '239AA', '143', '124', '145']"
"HYDERABAD: The managing director of Sandhya Conventions, Saranala Sreedhar Rao has been now booked for allegedly performing unnatural sex with his male masseur by the Sanathnagar police of Cyberabad. A source from Sanathnagar police confirmed the complaint received by the victim and said that cases were booked under sections 377 (sexual act against the order of nature), 341 (wrongful restraint), 323 (voluntarily causing hurt) and 506 (criminal intimidation) of the IPC against Rao, who was last arrested by the Raidurgam police from Bangalore on Wednesday night.  According to sources, a complaint was received on Thursday night, wherein the victim, a 34-year-old, stated that Sreedhar Rao had sexually assaulted him on the night of October 8. The police said Rao allegedly forced himself on the victim during a massage session and threatened him with a knife with dire consequences. Earlier on November 10, Sreedhar Rao was placed under arrest by the Raidurgam Police for cheating the public to the tune of Rs 11.24 crore. As many as 10 cases were lodged against him in the last one week in Cyberabad commissionerate alone by the victims he cheated, with the Gachibowli police registering a fresh one on Thursday. According to police sources, the accused Sreedhar Rao was recently involved in criminal cases, including three registered with the Raidurgam police, three with the Gachibowli police, one with Narsingi and another one with Miyapur police of Cyberabad. “The cases are still under investigation and as per the findings of the investigation, further action will be taken against the accused,” the police said, adding that more cheating complaints are expected in the next few days. ","['253', '363A', '162', '111', '228A']"
"HYDERABAD: YSRCP AP secretary Devireddy Siva Shankar Reddy, who was arrested by CBI here on Wednesday in connection with murder of Y S Vivekananda Reddy, was produced before the Kadapa court on Thursday Later, Siva Shankar Reddy was shifted to judicial remand. Tension gripped Kadapa prison when Kadapa MP YS Avinash Reddy and YSRCP activists reached the place to meet Siva Shankar Reddy. Police were unable to control the mob and allowed the Kadapa MP to meet Siva Shankar. Minutes later, Shankar Reddy was in jail.  It was learnt that CBI officials grilled him in connection with the murder case and on Vivekananda's former driver Shiek Dastagiri's confessional statement. Shankar Reddy reiterated that he was nowhere near the place of the murder. Shankar Reddy has been shifted to Kadapa on Prisoner Transit (PT) warrant.
Hours before the arrest, a letter on the name of Shankar Reddy was released stating that he was innocent in the case. When TDP was in power, a SIT was formed and its officials questioned him in connection with the murder case. Later, the case was transferred for further probe.  ""Some vested interests have been maligning me and sabotaging my political career. When the murder incident took place, I was in Hyderabad and I received the information from a close relative of Vivekananda Reddy,"" Shankar said.
Reacting to the arrest, Shankar Reddy's son Chaitanya Reddy said ""My father is suffering due to ill-health. The CBI must come out with real facts and nail the culprits.”","['352', '202', '360', '62', '75']"
"Hyderabad: The Managing Director of Sandhya Convention, Saranala Sreedhar Rao is allegedly absconding after getting bail from Cherlapally Central Jail on November 20. Cyberabad police officials from Narsingi and Raidurgam went to Rao’s residence in Nandagiri Hills to serve 41 CrPC notices. On finding that he was away, they stuck the notices to his door. The notices direct persons against whom a reasonable complaint has been made, or credible information has been received or a reasonable suspicion exists that he has committed a cognizable offence, to appear before the police or at such other place as may be specified in the notice.  Police officials learnt that Rao had not been to his house since getting bail. Officials from Cyberabad police, who received over a dozen complaints against the accused, said that they are waiting for High Court orders of the bail before proceeding further with their investigation. Meanwhile, the Sanatnagar police, who received a complaint of alleged sodomy by Rao, said that they are awaiting the FSL and doctor’s report as a part of their investigation. Gachibowli police officials, who received three complaints against Rao for cheating and defrauding victims, said that they will act as per orders from the High Court and seek a legal opinion. ","['111', '6', '316', '191', '243V']"
"HYDERABAD: Justice Lalitha Kanneganti of Telangana High Court on Friday granted bail to Saranala Sreedhar Rao, the ‘tainted’ managing director of Sandhya Conventions and Constructions & Estates Private Limited. This is the second High Court respite for the realtor in three days.  Rao was arrested in Bangalore by Telangana police on November 17 following a FIR lodged against him on a complaint by Chaithanya Krishna Murthy Gogineni, a designator partner of Rowa & Company Associates LLP at Raidurgam police station. He alleged that the petitioner has sold two office units in Sandhya Techno-1 and later the same was encroached upon by the petitioners after joining hands with Incredible India Projects Pvt Ltd. Rao approached the High Court on Thursday, for bail under Section 439 of CrPC. However, in the absence of the remand report, the petition was adjourned to Friday.  Justice Lalitha expressed displeasure at the functioning of the investigation officer of Raidurgam police station, who, in violation of the Criminal Procedure Code, 1973, took custody of Rao. The judge advised the public prosecutor, Prathap Reddy to urge senior police officials to sensitise their staff about the Criminal Procedure Code. M.S. Prasad, senior counsel representing the petitioner, complained about the highhanded behaviour of the police. He said that the petitioner was arrested in Bangalore by police in civil dress without following due procedures. He expressed fears that PT warrants could be issued against his client.  Meanwhile, public prosecutor Pratap Reddy argued that the bail petition itself was not maintainable. But as the court was inclined to hear the case on its merits, he said that there are 17 other cases and complaints against the petitioner, including allegations of cheating people. The police had no other option but to arrest him immediately. He also submitted that the petitioner was absconding from the time he got the first court relief. Justice Lalitha wondered why the petitioner was not arrested without issuing 41a notice when there were criminal antecedents. She took note of the fact that the Raidurgam inspector had served notice and arrested the petitioner on the same day in another case and that the concerned magistrate had rejected the remand faulting police.  The judge said “The conduct of the inspector makes it clear that he is unaware of the criminal procedure and Supreme Court guidelines in the Arnesh Kumar case”. The judge directed the Inspector to file a counter, responding to the violations.","['134A', '134', '258A', '109', '217']"
"HYDERABAD: An internal inquiry in the irregularities in sanctioning Rs 11 crore loan to Amazon Enterprises Private Limited revealed that former manager of the Union Bank of India (previously Andhra Bank), Ameerpet branch, Govind Katroth had accepted photocopies of the property document rather than the original one as collateral security. The report also revealed that double registrations were done on the property at two sub-registrar offices.  The Central Bureau of Intelligence (CBI) officials, who registered criminal cases on Amazon Enterprises Private Limited in the bank fraud, initiated action based on the internal report conducted by the Union Bank of India in connection with the case.  Beena Vaheed, general manager, HR, of the bank submitted the internal report to the CBI officials stating that the chief vigilance officials of the bank had verified the details of bank fraud and were allowed to conduct investigation against the public servant. In the internal report, the bank officials found fault with Govind Katroth for his reckless financing by violating norms of the bank. Katroth failed to comply with the bank's guidelines in recommending, disbursing and monitoring the loan sanctioned to Amazon Enterprises, it was found.  ""Govind did not ensure that the unit was established and failed to conduct post-sanction unit inspection. During the inspection of the unit by internal investigating officials, the borrower directed them to a different locality where the unit was available but it was closed for more than six months. The unit was already mortgaged as collateral security to another loan favouring Vinayaka Paper Boards Limited., which had been declared as fraud,"" the bank officials said in a report. The suspended manager Govind Katroth obtained a photocopy of the document bearing No.3388/2012 instead of the original document as advised in the legal opinion. Margin money from the borrower at the time of release of term loan was also not ensured by him. He accepted inflated valuations of collateral securities given by panel engineer without making independent inquiries.  During the re-verification, it was found that the property pledged to the bank as security had double registrations at two different places. Following the bank fraud committed by the Amazon Enterprises, the bank officials conducted an internal probe by Nageshwara Rao, senior manager. A few days ago, the CBI registered cases on Amazon Enterprises for duping the Union Bank of India to the tune of Rs 11 crore by submitting fake documents of property as collateral security.","['244A', '243ZB', '243L', '135', '210']"
"Hyderabad: It is quite possible that the four accused in the Disha case shot themselves during the alleged open firing on the morning of December 6, 2019, said counsel for Cyberabad police before the commission probing the killing of the accused in the Disha case, which has been described as ‘encounter killings’ allegedly at the behest of the then Cyberabad commissioner V.C. Sajjanar. The panel retorted that such fatal bullet wounds would only be caused by high-velocity weapons like SLRs and AK47s, and not 9mm pistols, the ones they allegedly snatched. Ballistics experts clarified that the wounds caused by bullets were bigger than could be caused by a 9mm pistol.  It became evident during arguments that police personnel fired 26 rounds in total, including 18 from AK47, four by Cyberabad SOT head constable Mohammed Sirajuddin and four by sub-inspector Kocherla Ravi. It was also ascertained that 10 AK 47 rounds were fired in the air as ‘warning shots’, while the remaining hit the four accused, Mohammed Arif, Jollu Shiva, Jollu Naveen and Ch. Chennakesavulu. The panel noted that the whole episode seemed more like a ‘take aim and shoot’ execution, unlike the version of officials, who deposed that it was a case of ‘firing at the sound of bullets’. The officials had told the panel that they were ordered to fire warning shots. They could not see the four accused as there was ‘soil in our eyes’.  However, the panel contended that in such a case, the wounds should have been on the legs or below the waist, whereas the bullets had pierced their torsos, suggesting that they did not wish to warn the accused. The commission wondered how no police person was injured when the accused ‘fired’ whereas bullets fired by police felled the four. The panel asked the counsel to provide documents or data showing how dark it was that morning as the official recorded sunrise timing was 6:31 am. State advocate Uma Maheshwar will continue the arguments on Thursday. ","['135', '197', '360', '227', '373']"
"New Delhi: The Supreme Court on Monday protected former Mumbai police commissioner Param Bir Singh from arrest, directing him to co-operate with the investigation as the court described the situation “disturbing” where a former top cop of Mumbai was showing lack of faith in the police which he once headed. Observing “We do find the picture very disturbing. An earlier Commissioner seems to show lack of faith in the police! We wonder what would happen to the common man and what kind of faith would they have in the police”, a bench comprising Justice Sanjay Kishan Kaul and Justice M.M. Sundresh protected Singh from arrest as court was informed that the former Mumbai police top cop has not fled from the country, nor absconding nor intends to abscond, but he is hiding as he is facing threat to his life if he returns to Maharashtra.  Issuing notice to the CBI and Maharashtra government on Singh’s plea that the entire matter involving him and the former Maharashtra Home Minister Anil Deshmukh should be investigated by the CBI and not just one aspect of involving allegations against Deshmukh and posting the matter for further hearing on December 6, the court in its order said that the “matter has become curiouser and curiouser in the battle between the then Home Minister and the then Police Commissioner.” Having issued the notice to CBI and Maharashtra government, the court
ordered that in the meantime Param Bir Singh “shall join the investigation but shall not be arrested. A copy of the order to accompany the notice.”  In the course of the last hearing of the matter on November 18, 2021, the court had declined to pass any order observing that it won’t consider his application until his whereabouts are disclosed. “No protection, no hearing until we know where you are,”, the bench had observed in the last hearing. His lawyer, who had then sought time till today to get instructions told the court that Singh doesn’t want to run away. “The issue, however, is that there is a very genuine threat to his life as soon as he enters Maharashtra.” ","['219', '241', '242', '11', '174']"
"Tirupati: Central Bureau of Investigation (CBI) on Wednesday arrested seven accused from various places in the country, including a youngster from Tirupati, Andhra Pradesh, in connection with an ongoing investigation of a case related to alleged online child sexual abuse and exploitation. In a media release on Wednesday, CBI stated that investigations revealed that all accused had been allegedly sharing links of Child Sexual Exploitation Materials (CSEM) videos on certain websites including https://koflink.com and https://pdisklink.com.  Deccan Chronicle has accessed the FIR copy registered against the alleged offender T. Mohan Krishna, a resident of Tirupati’s Yashoda Nagar. According to the FIR, there is credible information with CBI that a syndicate of individuals based in different parts of India and foreign countries is indulging in circulation, storing and viewing of CSEM through various social media platforms or groups. People belonging to the syndicate are disseminating CSEM by way of sharing links, videos, pictures, texts, posts, and hosting such content on social media groups or platforms and third-party storage or hosting platforms.  It has been learnt from reliable sources that Mohan Krishna of Tirupati with other known persons, was involved in publishing or transmitting CSEM in electronic form depicting children engaging in sexually explicit conduct. He was collecting, seeking, browsing, downloading, exchanging and distributing materials in electronic forms depicting children in obscene or indecent or sexually explicit manner, the FIR read. These facts prima facie disclose commission of offences punishable under section 120-8 r/w 67-8 of IT Act, 2000 against Mohan Krishna and other unknown persons. Hence, CBI registered a regular case and took up further investigation, the FIR said.  The alleged offender was taken into custody by the CBI on Wednesday. Confirming the development to Deccan Chronicle, Tirupati superintendent of police Ch. Venkata Appal Naidu said Urban Police assisted CBI officials in the process of apprehending the alleged offender and putting him under temporary custody. “CBI is producing the offender before the competent court. He is learnt to have allegedly uploaded CSEM on social media groups and websites for monetizing the content”, the SP added.  It may be recalled that CBI had registered 23 separate cases on November 14 against 83 accused on allegations related to online child sexual abuse and exploitation. On Tuesday, searches were conducted at around 77 locations including Tirupati and Anantapur’s Kanekal, and at premises of the accused, which led to the recovery of electronic gadgets, mobiles, laptops and so on. ","['371D', '352', '124', '75', '68']"
"Hyderabad: The Siddipet district revenue authorities are allegedly misleading the Telangana high court in a high-profile case of encroachment of assignment land as also government land in Sy No 356 of Pregnapur village in Gajwel mandal by a family of rich local landlords. Recently, hearing a case filed against these landlords, the HC directed the collectors of all the districts in Telangana to survey and geotag all the government lands to prevent encroachments and submit compliance reports to the court.  The case took an interesting turn with the petitioners again approaching the court with a complaint against the revenue authorities, stating that they have never taken possession of the land as claimed in their affidavit. Backed with evidence, the petitioners informed the court that even today the surplus land had been under the physical possession of the encroachers and the revenue department was not taking steps to resume the land and restore its ownership to the landless poor. Inquiries revealed that Chittapuram Raju, a resident of Pregnapur, filed a PIL in the HC complaining against local landlord Vijay Kumar and his daughter, who he said were in possession of 37 acres of land in Sy no 356, which was declared surplus land under the Agriculture Ceiling Act and later distributed this to the landless poor.  “The original landlords who declared surplus land retained their ownership and possession over the same land till date. Though the government allotted this land to the landless poor, the revenue records like pahani still showed the names of the original declarants,” said the petitioner. The tahasildar, in a report submitted to the then Medak collector, a copy of which is available with this newspaper, also categorically stated that Ac 37.09 was declared as ceiling surplus by M Laxmi Kantha Rao, M Vijay Kumar, M Veda Kumar and M Bhoopati Rao, and the same was assigned to 43 landless poor.  The report listed various sale transactions carried out by the original landowners even after the land was assigned to the landless poor. It also recommended to the collector to allow rectification of the records and protection of the government land. “We are also urging the court to issue necessary directions to evict the encroacher and hand over the possession to landless poor,” the petitioner said.","['111', '309', '210', '239AA', '369']"
